Number of Driving Lessons,Number of Lessons to Reach 100% Personal Goals,Gender,Age,Type of License,Education,Teacher Rating
2,1,זכר,0,ידני,תיכונית,9
2,1,זכר,0,ידני,תיכונית,9
2,1,זכר,0,ידני,תיכונית,9
2,1,זכר,0,ידני,תיכונית,9
3,2,זכר,6,ידני,תיכונית,9
2,1,זכר,0,ידני,תיכונית,7
33,23,זכר,0,ידני,תיכונית,8
33,23,זכר,23,ידני,תיכונית,7
33,23,זכר,23,ידני,תיכונית,8
33,23,זכר,23,ידני,תיכונית,8
33,23,זכר,23,ידני,תיכונית,8
33,23,זכר,23,ידני,תיכונית,8
33,23,זכר,23,ידני,תיכונית,8
33,23,זכר,23,ידני,תיכונית,8
33,23,זכר,23,ידני,תיכונית,8
33,23,זכר,23,ידני,תיכונית,8
